"","month","year","sum"
"736",4,2005,11.7
"737",4,2006,29
"738",4,2007,51.2
"739",4,2008,11.5
"740",4,2009,10.3
"741",4,2012,12.7
"742",4,2013,50.5
"743",4,2014,22.4
"744",5,1990,49.6
"745",5,1991,24.6
"746",5,1992,20.4
"747",5,1994,14.9
"748",5,1995,7.2
"749",5,1996,17.5
"750",5,1997,111.3
"751",5,1999,28.1
"752",5,2000,28.8
"753",5,2001,33.1
"754",5,2002,9.4
"755",5,2003,35.8
"756",5,2004,11.6
"757",5,2005,7.5
"758",5,2006,23.1
"759",5,2010,10.8
"760",5,2011,18.7
"761",5,2012,17.4
"762",5,2013,7.6
"763",5,2014,6.1
"764",5,2015,11.2
"765",6,1990,68.3
"766",6,1991,53.8
"767",6,1993,60.4
"768",6,1994,85.3
"769",6,1995,9.7
"770",6,1996,46.5
"771",6,1997,48.1
"772",6,1998,5.7
"773",6,1999,45.4
"774",6,2000,50
"775",6,2001,16.2
"776",6,2002,23.7
"777",6,2003,61.9
"778",6,2004,9.3
"779",6,2005,54.9
"780",6,2006,11.5
"781",6,2007,98.9
"782",6,2008,14.4
"783",6,2009,31.6
"784",6,2011,53.2
"785",6,2012,39.1
"786",6,2013,5.4
"787",6,2014,56.4
"788",7,1990,86.4
"789",7,1991,21.4
"790",7,1992,21.6
"791",7,1993,155
"792",7,1994,41.2
"793",7,1995,40.3
"794",7,1996,6.4
"795",7,1997,64.4
"796",7,1998,12.1
"797",7,1999,55.1
"798",7,2000,14
"799",7,2002,5.1
"800",7,2003,53.7
"801",7,2004,91.8
"802",7,2005,12.6
"803",7,2006,21.3
"804",7,2007,76.1
"805",7,2008,93.1
"806",7,2009,12.7
"807",7,2012,35.1
"808",7,2013,79.5
"809",8,1990,58.1
"810",8,1991,14.3
"811",8,1992,17.1
"812",8,1993,101.4
"813",8,1994,47.9
"814",8,1995,17
"815",8,1998,33.9
"816",8,1999,20.1
"817",8,2000,26.8
"818",8,2001,24.9
"819",8,2002,6.6
"820",8,2003,38.1
"821",8,2004,6.9
"822",8,2005,6.4
"823",8,2006,75.3
"824",8,2007,5.7
"825",8,2009,70.4
"826",8,2010,8.1
"827",8,2011,37.5
"828",8,2012,46.7
"829",8,2013,46.5
"830",8,2014,20.3
"831",9,1990,39.7
"832",9,1991,16.2
"833",9,1992,10.3
"834",9,1993,79.7
"835",9,1994,6.5
"836",9,1995,8.1
"837",9,1996,30.1
"838",9,1997,65.3
"839",9,1999,31.9
"840",9,2000,69.1
"841",9,2001,27.2
"842",9,2002,31.6
"843",9,2004,59.2
"844",9,2006,23.5
"845",9,2007,35.5
"846",9,2008,42.1
"847",9,2010,8.7
"848",9,2011,166.6
"849",9,2013,58.7
"850",10,1990,43.6
"851",10,1991,19.6
"852",10,1992,13.8
"853",10,1993,22.4
"854",10,1994,34.4
"855",10,1995,6.3
"856",10,1997,26.4
"857",10,1998,29.4
"858",10,1999,30.7
"859",10,2001,30.9
"860",10,2002,35.2
"861",10,2003,37.6
"862",10,2004,53.6
"863",10,2005,19.2
"864",10,2006,32.3
"865",10,2009,34.9
"866",10,2010,33
"867",10,2011,12.3
"868",10,2012,26.9
"869",10,2013,13.2
"870",10,2015,50.8
"871",11,1990,62.6
"872",11,1991,12.7
"873",11,1992,32.8
"874",11,1995,11.5
"875",11,1996,9.1
"876",11,1997,10.6
"877",11,1998,39.7
"878",11,1999,17.3
"879",11,2001,18.7
"880",11,2002,25.1
"881",11,2004,34.8
"882",11,2006,31.8
"883",11,2007,27.3
"884",11,2008,18.7
"885",11,2009,8.5
"886",11,2010,65.8
"887",11,2011,18.6
"888",11,2012,15.8
"889",11,2013,7.7
"890",11,2014,6.1
"891",11,2015,53.9
"892",12,1990,7.8
"893",12,1991,15.5
"894",12,1993,6
"895",12,1994,9.4
"896",12,1995,19
"897",12,1996,5.3
"898",12,1997,19.1
"899",12,1998,9.3
"900",12,1999,39.8
"901",12,2000,59.7
"902",12,2001,13.6
"903",12,2002,12.2
"904",12,2004,9.9
"905",12,2005,26.3
"906",12,2006,7.4
"907",12,2007,18.4
"908",12,2008,5.8
"909",12,2009,9.7
"910",12,2010,6.6
"911",12,2011,7.8
"912",12,2012,8.5
"913",12,2013,15.9
"914",12,2014,50.6
"915",12,2015,26.6
"916",1,1990,5.6
"917",1,1991,13.7
"918",2,1990,14.1
"919",2,1991,24.7
"920",2,1992,15.8
"921",3,1990,7.7
"922",3,1991,7.9
"923",4,1992,61.3
"924",5,1990,74.7
"925",5,1991,11.5
"926",5,1992,33
"927",6,1990,37
"928",6,1991,46
"929",6,1992,18.5
"930",7,1990,62.3
"931",7,1991,29.3
"932",7,1992,6.3
"933",8,1990,6.2
"934",8,1991,20.3
"935",8,1992,39.4
"936",9,1990,53.7
"937",9,1991,36.6
"938",10,1990,54.7
"939",10,1991,22.2
"940",10,1992,32.8
"941",11,1990,61.6
"942",11,1991,21.4
"943",11,1992,24.2
"944",12,1991,6.3
"945",1,1990,5.1
"946",1,1991,16.7
"947",1,1992,9.5
"948",1,2013,18.3
"949",1,2014,23.9
"950",1,2015,13.2
"951",2,1990,30.4
"952",2,1991,40
"953",2,1992,7.3
"954",2,2013,6.4
"955",2,2014,12.2
"956",2,2015,7.9
"957",3,1990,6.8
"958",3,2013,22.3
"959",3,2014,17
"960",4,1990,17.4
"961",4,1992,20.9
"962",4,2013,24.1
"963",4,2014,7.9
"964",5,1990,6.5
"965",5,1991,41.5
"966",5,1992,19.3
"967",5,2013,34.8
"968",6,1990,44.5
"969",6,1991,6
"970",6,2013,6.1
"971",6,2014,14
"972",7,1990,31.1
"973",7,1991,6
"974",7,1992,11.8
"975",7,2013,33.1
"976",7,2015,7.4
"977",8,1990,37.1
"978",8,1991,98.2
"979",8,1992,43.1
"980",8,2013,19.6
"981",9,1990,23.9
"982",9,1992,21.9
"983",9,2012,7.1
"984",9,2013,39.9
"985",10,1990,25.2
"986",10,1991,13.8
"987",10,1992,23.7
"988",10,2012,46.8
"989",10,2013,11.2
"990",10,2014,16.3
"991",10,2015,74.2
"992",11,1990,98.5
"993",11,1991,6.2
"994",11,1992,22.9
"995",11,2012,29
"996",11,2013,5.6
"997",11,2015,68.8
"998",12,1990,11.2
"999",12,1991,5.8
"1000",12,1992,5.6
"1001",12,2012,21.4
"1002",12,2013,19.3
"1003",12,2014,15
"1004",12,2015,33
"1005",1,1990,10.9
"1006",1,2013,14.2
"1007",1,2015,5.1
"1008",2,1990,7.3
"1009",2,1991,5.3
"1010",2,2015,8.6
"1011",3,1990,13.1
"1012",3,2013,25.3
"1013",3,2014,5.6
"1014",4,1990,33.7
"1015",4,1992,44
"1016",4,2013,7.1
"1017",5,1990,30.4
"1018",5,1991,26.9
"1019",5,1992,35.7
"1020",6,1990,49.4
"1021",6,1991,37
"1022",6,2013,9.4
"1023",6,2014,17
"1024",7,1990,68.7
"1025",7,1991,15.2
"1026",7,1992,10.2
"1027",7,2013,26.4
"1028",8,1990,48.7
"1029",8,1991,36.5
"1030",8,1992,25.7
"1031",8,2013,62.2
"1032",9,1990,10.7
"1033",9,1991,6.6
"1034",9,1992,12.2
"1035",9,2012,6.1
"1036",9,2013,9.9
"1037",10,1990,14.1
"1038",10,1991,9.3
"1039",10,1992,31.1
"1040",10,2012,43.1
"1041",10,2013,10.9
"1042",10,2015,64.8
"1043",11,1990,89.3
"1044",11,1991,5.2
"1045",11,1992,16.3
"1046",11,2012,18
"1047",11,2013,7.4
"1048",11,2015,55.9
"1049",12,1990,17.5
"1050",12,1991,5.6
"1051",12,2012,19.5
"1052",12,2014,18.5
"1053",12,2015,12.7
"1054",1,1990,5.3
"1055",1,1991,8.3
"1056",1,1992,18.3
"1057",2,1990,14.4
"1058",2,1991,23.7
"1059",2,1992,15.1
"1060",3,1990,8.1
"1061",3,1991,15.2
"1062",4,1990,19
"1063",4,1991,29.9
"1064",4,1992,27.1
"1065",5,1990,77.1
"1066",5,1992,39.4
"1067",6,1990,60.7
"1068",6,1991,26.9
"1069",6,1992,12.9
"1070",7,1990,56.5
"1071",7,1991,8.7
"1072",7,1992,25.5
"1073",8,1990,45.5
"1074",8,1991,42.4
"1075",9,1990,83.4
"1076",9,1991,14.2
"1077",10,1990,54.2
"1078",10,1991,16.1
"1079",10,1992,38.5
"1080",11,1990,28.5
"1081",11,1991,29.6
"1082",11,1992,46.9
"1083",12,1990,6.4
"1084",12,1991,5.7
"1085",1,1990,6.7
"1086",1,1991,9.2
"1087",1,1992,24.1
"1088",1,1993,19.6
"1089",1,1994,6.4
"1090",1,1995,6.7
"1091",1,1997,24.5
"1092",1,1998,8
"1093",1,1999,12.2
"1094",1,2000,19.6
"1095",1,2001,58.8
"1096",1,2002,8.9
"1097",1,2003,16.7
"1098",1,2004,8.1
"1099",1,2005,6.2
"1100",1,2007,40.8
"1101",1,2008,32.3
"1102",1,2010,14.2
"1103",1,2011,21.1
"1104",1,2013,5.2
"1105",2,1990,36.3
"1106",2,1991,20.9
"1107",2,1992,6.6
"1108",2,1993,5.8
"1109",2,1994,6.4
"1110",2,1995,56.2
"1111",2,1996,21.2
"1112",2,1997,13.3
"1113",2,1998,15.7
"1114",2,1999,29.3
"1115",2,2000,5.7
"1116",2,2001,16.5
"1117",2,2002,23.1
"1118",2,2004,5.3
"1119",2,2005,5.7
"1120",2,2006,7.3
"1121",2,2007,26.6
"1122",2,2008,8.9
"1123",2,2010,31.9
"1124",3,1990,8.5
"1125",3,1991,16
"1126",3,1994,10.1
"1127",3,1995,14
"1128",3,1996,13.3
"1129",3,1997,10.6
"1130",3,1998,32.3
"1131",3,2000,14.9
"1132",3,2001,23.4
"1133",3,2002,16
"1134",3,2004,19.2
"1135",3,2006,5.4
"1136",3,2008,5.4
"1137",3,2009,19.8
"1138",3,2010,15.9
"1139",3,2011,18
"1140",3,2012,20.1
"1141",3,2013,26.1
"1142",4,1990,5.6
"1143",4,1991,8.5
"1144",4,1992,42.8
"1145",4,1993,41.8
"1146",4,1994,7.4
"1147",4,1995,7.4
"1148",4,1996,34.4
"1149",4,1997,22.1
"1150",4,1998,26.8
"1151",4,2000,11.4
"1152",4,2004,19.2
"1153",4,2006,47
"1154",4,2007,16.6
"1155",4,2009,17.6
"1156",4,2011,26.6
"1157",4,2012,16.7
"1158",4,2013,37.6
"1159",5,1990,58.2
"1160",5,1991,31.4
"1161",5,1992,24.9
"1162",5,1994,11.4
"1163",5,1995,30.3
"1164",5,1996,71.5
"1165",5,1997,51.1
"1166",5,1999,39.4
